,preferred,bias,member,Time
285,4.750,,76,184.0
286,4.750,,22,184.0
287,4.750,,26,184.0
288,4.904,,49,185.0
289,4.750,,71,185.0
291,4.696,,11,185.0
292,4.750,,13,185.0
304,4.853,LE,49,185.0
305,5.125,,58,185.0
306,5.236,A,52,185.0
307,5.250,,11,185.0
308,5.250,,13,185.0
309,5.250,,14,185.0
310,5.250,,57,185.0
311,5.250,,64,185.0
312,5.265,A,17,185.0
313,5.375,,15,185.0
314,5.547,LT,32,185.0
315,5.555,LT,71,185.0
316,5.000,,76,185.0
317,5.250,,26,185.0
318,5.250,,32,187.0
319,5.500,,11,187.0
320,5.500,,14,187.0
321,5.625,,49,187.0
322,5.625,,57,187.0
323,5.682,A,58,187.0
324,5.750,,71,187.0
325,5.750,,17,187.0
326,5.500,,52,187.0
327,5.500,,13,187.0
328,5.500,,45,187.0
329,5.750,,64,187.0
330,5.750,,15,187.0
331,5.853,A,22,187.0
332,6.408,LT,76,187.0
333,6.408,LT,26,187.0
334,4.750,,64,188.0
335,4.872,A,13,188.0
336,5.000,,49,188.0
337,5.169,LT,57,188.0
338,5.375,,14,188.0
339,5.375,,52,188.0
340,5.375,,71,188.0
341,5.500,,32,188.0
342,5.563,,11,188.0
343,5.563,,17,188.0
344,5.563,,45,188.0
345,5.563,,58,188.0
346,5.375,,15,188.0
347,5.375,,76,188.0
348,5.563,,22,188.0
349,5.563,,26,188.0
367,4.750,,49,190.0
368,4.750,,57,190.0
369,4.750,,58,190.0
370,4.750,,64,190.0
371,4.816,A,32,190.0
372,4.823,A,13,190.0
373,5.063,,52,190.0
374,5.118,LT,14,190.0
375,5.188,,11,190.0
376,5.188,,45,190.0
377,5.188,,71,190.0
378,4.961,LT,76,190.0
379,5.063,,15,190.0
380,5.125,,7,190.0
381,5.188,,22,190.0
382,5.188,,26,190.0
399,3.813,,57,192.0
400,4.007,LE,17,192.0
401,4.051,LE,49,192.0
402,4.313,,58,192.0
403,4.313,,64,192.0
404,4.320,A,13,192.0
405,4.361,A,11,192.0
406,4.316,A,14,192.0
407,4.375,,52,192.0
408,4.375,,45,192.0
409,4.438,,32,192.0
410,4.500,,15,192.0
411,4.313,,59,192.0
412,4.313,,76,192.0
413,4.313,,22,192.0
430,3.149,LE,57,194.0
431,3.151,LE,70,194.0
432,3.250,,13,194.0
433,3.375,,52,194.0
434,3.500,,11,194.0
435,3.500,,14,194.0
436,3.500,,17,194.0
437,3.500,,32,194.0
438,3.500,,49,194.0
439,3.500,,58,194.0
440,3.500,,64,194.0
441,3.879,LT,45,194.0
442,3.500,,76,194.0
443,3.500,,59,194.0
444,3.561,A,22,194.0
445,3.625,,15,194.0
446,3.750,,26,194.0
447,3.625,,70,195.0
449,3.556,,11,195.0
450,3.500,,17,195.0
464,4.125,,49,196.0
465,4.186,LE,70,196.0
466,4.250,,57,196.0
467,4.298,LE,13,196.0
468,4.500,,11,196.0
469,4.500,,32,196.0
470,4.593,A,17,196.0
471,4.625,,15,196.0
472,4.625,,64,196.0
473,4.850,LT,59,196.0
474,5.021,LT,22,196.0
475,5.076,LT,76,196.0
476,4.499,A,58,196.0
477,4.500,,45,196.0
478,4.500,,52,196.0
479,4.625,,14,196.0
480,4.134,,26,196.0
481,4.554,,70,197.0
482,4.546,,11,197.0
484,4.742,,17,197.0
485,4.685,,22,197.0
487,4.623,,57,197.0
488,4.593,,59,197.0
498,4.729,A,22,198.0
499,4.750,,57,198.0
500,4.750,,4,198.0
501,4.750,,59,198.0
502,4.750,,11,198.0
503,4.764,A,17,198.0
504,4.801,A,80,198.0
505,4.875,,64,198.0
506,4.875,,52,198.0
507,4.875,,58,198.0
508,4.750,,26,198.0
509,4.750,,45,198.0
510,4.750,,11,198.0
511,4.764,A,13,198.0
512,4.801,A,17,198.0
513,4.875,,64,198.0
514,4.875,,70,198.0
515,4.875,,4,198.0
516,4.875,,22,198.0
517,4.978,LT,59,198.0
518,4.446,LE,32,198.0
519,4.750,,15,198.0
520,4.993,LT,52,198.0
522,4.924,LE,4,200.0
523,4.750,,17,200.0
524,4.750,,57,200.0
525,4.750,,70,200.0
526,4.875,,13,200.0
527,5.000,,11,200.0
528,5.000,,59,200.0
529,5.000,,15,200.0
530,5.125,,22,200.0
531,5.125,,64,200.0
532,5.245,A,32,200.0
533,5.250,,58,200.0
534,4.750,,45,200.0
535,5.000,,26,200.0
536,5.000,,52,200.0
537,5.125,,14,200.0
554,5.125,,17,202.0
555,5.250,,13,202.0
556,5.306,A,64,202.0
557,5.346,A,32,202.0
558,5.359,A,4,202.0
559,5.361,A,70,202.0
560,5.375,A,57,202.0
561,5.396,A,11,202.0
562,5.414,A,15,202.0
563,5.431,A,22,202.0
564,5.431,A,59,202.0
565,5.431,A,11,202.0
566,go-around.,,4,202.0
567,5.346,A,13,202.0
568,5.359,A,17,202.0
569,5.361,A,22,202.0
570,5.375,A,26,202.0
571,5.396,A,32,202.0
572,5.414,A,64,202.0
573,5.431,A,70,202.0
574,5.431,A,59,202.0
575,5.431,A,57,202.0
576,go-around.,,52,202.0
581,5.476,A,70,204.0
582,5.499,A,17,204.0
583,5.500,,13,204.0
584,5.500,,15,204.0
585,5.500,,32,204.0
586,5.502,A,57,204.0
587,5.505,A,64,204.0
588,5.516,A,11,204.0
589,5.518,A,4,204.0
590,5.531,A,22,204.0
591,5.537,A,59,204.0
592,5.571,A,58,204.0
593,5.500,,14,204.0
594,5.505,A,6,204.0
595,5.509,A,52,204.0
596,5.591,LE,45,204.0
597,5.872,A,26,204.0
598,5.930,A,70,205.0
599,5.933,,57,205.0
600,5.985,A,13,205.0
601,6.036,A,4,205.0
602,6.125,,17,205.0
603,6.125,,15,205.0
604,6.139,LT,59,205.0
605,6.194,LT,11,205.0
606,6.375,,80,205.0
607,5.938,,64,205.0
608,5.955,A,22,205.0
609,6.000,,52,205.0
610,6.250,,6,205.0
612,6.207,A,13,206.0
613,6.252,A,57,206.0
614,6.313,,70,206.0
615,6.358,A,59,206.0
616,6.375,,11,206.0
617,6.375,,4,206.0
618,6.375,,15,206.0
619,6.375,,32,206.0
620,6.375,,64,206.0
621,6.527,LT,22,206.0
622,6.706,LT,7,206.0
623,6.250,,52,206.0
624,6.250,,58,206.0
625,6.250,,6,206.0
626,6.375,,45,206.0
627,6.375,,26,206.0
628,7.000,,14,206.0
629,7.000,,4,207.0
630,7.000,,13,207.0
631,7.000,,17,207.0
632,7.125,,58,207.0
633,7.125,,70,207.0
634,7.250,,57,207.0
635,7.250,,64,207.0
636,7.250,,11,207.0
637,7.125,,26,207.0
638,7.125,,6,207.0
639,7.125,,32,207.0
640,7.250,,52,207.0
641,7.250,,7,207.0
644,6.913,A,13,208.0
645,7.000,,58,208.0
646,7.000,,70,208.0
647,7.045,A,59,208.0
648,7.125,,4,208.0
649,7.245,LT,6,208.0
650,7.250,,17,208.0
651,7.250,,64,208.0
652,7.330,LT,57,208.0
653,7.331,LT,11,208.0
654,7.375,,32,208.0
655,7.500,,26,208.0
656,7.125,,7,208.0
657,7.250,,15,208.0
658,7.250,,45,208.0
676,7.750,,4,210.0
677,8.000,,52,210.0
678,8.000,,36,210.0
679,8.253,LE,13,210.0
680,8.422,A,17,210.0
681,8.467,A,11,210.0
682,8.479,A,57,210.0
683,8.481,A,14,210.0
684,8.500,,26,210.0
685,8.500,,18,210.0
686,8.625,,58,210.0
687,8.750,,22,210.0
688,8.183,LE,7,210.0
689,8.375,,45,210.0
690,8.500,,15,210.0
691,8.000,,59,210.0
692,8.000,,4,210.0
693,8.253,LE,70,210.0
694,8.422,A,11,210.0
695,8.467,A,17,210.0
696,8.479,A,36,210.0
697,8.481,A,52,210.0
698,8.500,,58,210.0
699,8.500,,6,210.0
700,8.625,,13,210.0
701,8.750,,32,210.0
702,8.183,LE,26,210.0
703,8.375,,7,210.0
704,8.500,,14,210.0
705,8.518,A,59,210.0
706,8.560,A,45,210.0
708,10.000,,52,212.0
709,10.077,LE,70,212.0
710,10.202,A,4,212.0
711,10.250,,58,212.0
712,10.484,A,17,212.0
713,10.500,,6,212.0
714,10.500,,11,212.0
715,10.500,,13,212.0
716,10.500,,26,212.0
717,10.500,,36,212.0
718,10.504,A,32,212.0
719,10.000,,7,212.0
720,10.500,,14,212.0
721,10.500,,45,212.0
722,10.500,,59,212.0
723,10.500,,22,212.0
741,9.000,,6,214.0
742,9.000,,58,214.0
743,9.000,,70,214.0
744,9.107,LE,26,214.0
745,9.432,A,13,214.0
746,9.500,,4,214.0
747,9.500,,52,214.0
748,9.500,,57,214.0
749,9.625,,11,214.0
750,9.625,,36,214.0
751,9.793,LT,17,214.0
752,9.802,LT,32,214.0
753,9.500,,22,214.0
754,9.500,,14,214.0
755,9.500,,45,214.0
756,9.625,,59,214.0
757,9.750,,7,214.0
776,9.000,,4,216.0
777,9.000,,58,216.0
778,9.216,LE,70,216.0
779,9.292,LE,57,216.0
780,9.321,LE,17,216.0
781,9.374,LE,6,216.0
782,9.375,,11,216.0
783,9.375,,13,216.0
784,9.625,,52,216.0
785,9.639,A,36,216.0
786,9.664,A,26,216.0
787,10.000,,32,216.0
788,9.250,,22,216.0
789,9.305,LE,59,216.0
790,9.375,,7,216.0
791,9.436,LE,14,216.0
792,9.625,,15,216.0
793,9.625,,45,216.0
812,8.125,,58,218.0
813,8.500,,4,218.0
814,8.500,,70,218.0
815,8.625,,52,218.0
816,8.875,,13,218.0
817,8.875,,11,218.0
818,8.875,,36,218.0
819,8.856,A,57,218.0
820,8.878,A,17,218.0
821,9.000,,32,218.0
822,9.110,LT,6,218.0
823,9.375,,26,218.0
824,8.750,,7,218.0
825,8.750,,22,218.0
826,8.750,,15,218.0
827,9.000,,45,218.0
828,9.000,,59,218.0
829,9.276,LT,14,218.0
848,9.299,LE,4,220.0
849,10.000,,36,220.0
850,10.000,,57,220.0
851,10.050,A,59,220.0
852,10.000,,7,220.0
853,10.154,LT,13,220.0
854,10.220,LT,32,220.0
855,10.250,,82,220.0
856,10.250,,70,220.0
857,10.250,,14,220.0
858,10.250,,11,220.0
859,10.375,,45,220.0
860,10.500,,52,220.0
861,10.625,,58,220.0
862,10.625,,22,220.0
863,10.250,,15,220.0
881,11.597,A,70,222.0
882,11.500,,4,222.0
883,11.500,,13,222.0
884,11.500,,36,222.0
885,11.500,,57,222.0
886,11.750,,59,222.0
887,11.750,,7,222.0
888,11.750,,11,222.0
889,11.750,,18,222.0
890,12.000,,45,222.0
891,12.250,,82,222.0
892,11.375,,14,222.0
893,11.375,,15,222.0
894,11.500,,58,222.0
895,11.625,,52,222.0
896,11.750,,6,222.0
897,11.750,,22,222.0
915,11.053,LE,4,224.0
916,11.750,,36,224.0
917,11.750,,57,224.0
918,11.811,A,59,224.0
919,12.000,,7,224.0
920,12.000,,13,224.0
921,12.000,,14,224.0
922,12.000,,45,224.0
923,12.000,,70,224.0
924,12.000,,82,224.0
925,12.250,,32,224.0
926,10.750,,22,224.0
927,11.500,,58,224.0
928,11.750,,6,224.0
929,11.750,,14,225.0
946,9.500,,82,226.0
947,9.625,,36,226.0
948,9.750,,7,226.0
949,9.750,,4,226.0
950,9.750,,13,226.0
951,9.750,,70,226.0
952,9.750,,59,226.0
953,9.875,,45,226.0
954,10.000,,14,226.0
955,10.000,,57,226.0
956,10.500,,32,226.0
957,9.375,,52,226.0
958,9.375,,58,226.0
959,9.750,,15,226.0
960,9.750,,22,226.0
961,9.750,,4,227.0
978,7.788,LE,57,228.0
979,8.210,A,4,228.0
980,8.000,,15,228.0
981,8.000,,82,228.0
982,8.000,,59,228.0
983,8.250,,7,228.0
984,8.250,,13,228.0
985,8.250,,36,228.0
986,8.250,,45,228.0
987,8.250,,70,228.0
988,8.500,,32,228.0
989,8.750,,14,228.0
990,7.375,,58,228.0
991,7.814,LE,52,228.0
992,7.847,LE,6,228.0
993,8.000,,22,228.0
994,8.000,,5,228.0
995,8.375,,26,228.0
1014,5.718,A,4,230.0
1015,5.250,,59,230.0
1016,5.250,,14,230.0
1017,5.500,,15,230.0
1018,5.500,,13,230.0
1019,5.750,,7,230.0
1020,5.750,,36,230.0
1021,5.750,,57,230.0
1022,6.000,,32,230.0
1023,6.000,,45,230.0
1024,6.000,,82,230.0
1025,4.500,,6,230.0
1026,4.500,,22,230.0
1027,4.875,,58,230.0
1028,5.000,,5,230.0
1029,5.250,,52,230.0
1030,5.250,,26,230.0
1049,4.500,,4,232.0
1050,5.125,,22,232.0
1051,5.125,,36,232.0
1052,5.250,,5,232.0
1053,5.250,,15,232.0
1054,5.250,,52,232.0
1055,5.375,,32,232.0
1056,5.375,,57,232.0
1057,5.500,,13,232.0
1058,5.899,A,82,232.0
1059,6.000,,6,232.0
1060,5.250,,7,232.0
1061,5.250,,58,232.0
1062,5.250,,59,232.0
1063,5.499,LE,14,232.0
1064,5.750,,45,232.0
1065,6.000,,26,232.0
1066,5.574,,22,233.0
1067,5.499,,4,233.0
1069,5.426,,5,233.0
1070,5.313,,15,233.0
1083,5.000,,4,234.0
1084,5.250,,22,234.0
1085,5.375,,15,234.0
1086,5.438,,36,234.0
1087,5.500,,18,234.0
1088,5.500,,52,234.0
1089,5.500,,57,234.0
1090,5.500,,5,234.0
1091,5.750,,13,234.0
1092,5.886,A,82,234.0
1093,6.000,,6,234.0
1094,5.250,,58,234.0
1095,5.250,,7,234.0
1096,5.500,,45,234.0
1097,5.500,,59,234.0
1098,5.500,,14,234.0
1115,6.625,,52,236.0
1116,6.744,A,57,236.0
1117,6.125,,13,236.0
1118,6.125,,36,236.0
1119,6.188,,15,236.0
1120,6.188,,81,236.0
1121,6.250,,4,236.0
1122,6.250,,39,236.0
1123,6.375,,82,236.0
1124,6.750,,5,236.0
1125,6.750,,22,236.0
1126,6.125,,58,236.0
1127,6.188,,6,236.0
1128,6.375,,45,236.0
1129,6.375,,15,236.0
1130,6.744,A,4,236.0
1131,6.125,,36,236.0
1132,6.125,,52,236.0
1133,6.188,,81,236.0
1134,6.188,,22,236.0
1135,6.250,,39,236.0
1136,6.250,,57,236.0
1137,6.375,,13,236.0
1138,6.750,,82,236.0
1139,6.750,,5,236.0
1140,6.125,,6,236.0
1141,6.188,,58,236.0
1142,6.375,,45,236.0
1143,6.375,,59,236.0
1147,5.500,,15,238.0
1148,5.500,,22,238.0
1149,5.500,,52,238.0
1150,5.500,,82,238.0
1151,5.750,,36,238.0
1152,5.750,,39,238.0
1153,5.750,,57,238.0
1154,5.750,,5,238.0
1155,5.875,,13,238.0
1156,5.875,,81,238.0
1157,5.875,,6,238.0
1158,5.500,,58,238.0
1159,5.500,,7,238.0
1160,5.500,,45,238.0
1161,5.500,,22,239.0
1163,5.664,,5,239.0
1164,5.750,,15,239.0
1176,4.987,LE,5,240.0
1177,5.000,,15,240.0
1178,5.000,,39,240.0
1179,5.000,,57,240.0
1180,5.200,A,22,240.0
1181,5.211,A,13,240.0
1182,5.250,,36,240.0
1183,5.250,,52,240.0
1184,5.250,,81,240.0
1185,5.250,,82,240.0
1186,5.250,,6,240.0
1187,5.000,,59,240.0
1188,5.000,,7,240.0
1189,5.250,,14,240.0
1194,4.625,,57,241.0
1195,4.625,,61,241.0
1196,4.625,,81,241.0
1197,4.764,LE,39,241.0
1198,4.767,A,5,241.0
1199,4.782,A,52,241.0
1200,4.829,A,22,241.0
1201,4.833,A,13,241.0
1202,4.860,A,36,241.0
1203,4.863,A,82,241.0
1204,4.500,,22,242.0
1205,4.750,,5,242.0
1206,4.750,,13,242.0
1207,4.750,,15,242.0
1208,4.750,,36,242.0
1209,4.750,,39,242.0
1210,4.750,,52,242.0
1211,4.750,,61,242.0
1212,4.750,,81,242.0
1213,4.875,,82,242.0
1214,4.875,,6,242.0
1215,4.750,,7,242.0
1216,4.750,,14,242.0
1217,4.750,,58,242.0
1218,4.750,,59,242.0
1219,5.000,,45,242.0
1220,4.734,,13,243.0
1221,4.750,,59,243.0
1223,4.744,,15,243.0
1224,4.750,,29,243.0
1237,4.750,,15,244.0
1238,4.875,,61,244.0
1239,4.875,,7,244.0
1240,4.875,,13,244.0
1241,4.875,,15,244.0
1242,4.875,,29,244.0
1243,4.875,,39,244.0
1244,5.000,,81,244.0
1245,5.000,,59,244.0
1246,5.000,,6,244.0
1247,4.725,A,45,244.0
1248,4.750,,82,244.0
1249,4.875,,5,244.0
1250,5.000,,52,244.0
1251,4.750,,31,244.0
1252,4.757,,7,245.0
1253,4.885,,13,245.0
1254,4.875,,29,245.0
1256,4.837,,6,245.0
1257,4.813,,39,245.0
1259,4.872,,61,245.0
1260,4.875,,82,245.0
1266,5.483,A,59,246.0
1267,5.500,,6,246.0
1268,5.500,,5,246.0
1269,5.500,,7,246.0
1270,5.500,,13,246.0
1271,5.500,,15,246.0
1272,5.500,,29,246.0
1273,5.500,,39,246.0
1274,5.500,,61,246.0
1275,5.500,,81,246.0
1276,5.500,,82,246.0
1277,5.500,,48,246.0
1278,5.500,,22,246.0
1279,5.500,,52,246.0
1280,5.500,,58,246.0
1281,5.250,,66,246.0
1282,5.250,,31,246.0
1283,5.250,,48,247.0
1284,5.250,,6,247.0
1285,5.250,,7,247.0
1286,5.250,,13,247.0
1287,5.250,,15,247.0
1288,5.250,,29,247.0
1289,5.250,,39,247.0
1290,5.297,A,61,247.0
1291,5.375,,82,247.0
1292,5.250,,59,247.0
1293,5.250,,45,247.0
1294,5.375,,81,247.0
1295,5.375,,52,247.0
1297,5.125,,81,248.0
1298,5.138,LE,61,248.0
1299,5.194,A,59,248.0
1300,5.223,A,15,248.0
1301,5.250,,7,248.0
1302,5.250,,13,248.0
1303,5.250,,29,248.0
1304,5.250,,31,248.0
1305,5.250,,39,248.0
1306,5.250,,45,248.0
1307,5.250,,82,248.0
1308,5.260,A,48,248.0
1309,5.125,,22,248.0
1310,5.250,,5,248.0
1311,5.250,,52,248.0
1312,5.250,,58,248.0
1313,5.250,,15,249.0
1314,5.250,,59,249.0
1315,5.250,,6,249.0
1316,5.250,,7,249.0
1317,5.250,,13,249.0
1318,5.250,,29,249.0
1319,5.250,,39,249.0
1320,5.251,A,45,249.0
1321,5.201,A,81,249.0
1322,5.250,,82,249.0
1323,5.250,,48,249.0
1324,5.250,,5,249.0
1325,5.250,,22,249.0
1326,5.250,,52,249.0
1328,4.750,,6,250.0
1329,4.750,,39,250.0
1330,4.750,,48,250.0
1331,4.750,,61,250.0
1332,4.750,,82,250.0
1333,4.750,,59,250.0
1334,4.875,,13,250.0
1335,4.875,,15,250.0
1336,4.875,,29,250.0
1337,4.875,,45,250.0
1338,5.000,,7,250.0
1339,5.000,,81,250.0
1340,4.750,,5,250.0
1341,4.750,,22,250.0
1342,4.750,,58,250.0
1343,4.875,,31,250.0
1344,4.875,,66,250.0
1363,4.500,,6,252.0
1364,4.500,,15,252.0
1365,4.500,,48,252.0
1366,4.500,,61,252.0
1367,4.500,,59,252.0
1368,4.625,,7,252.0
1369,4.625,,13,252.0
1370,4.625,,29,252.0
1371,4.625,,39,252.0
1372,4.625,,45,252.0
1373,4.625,,81,252.0
1374,4.625,,82,252.0
1375,4.375,,58,252.0
1376,4.500,,5,252.0
1377,4.500,,22,252.0
1378,4.500,,52,252.0
1379,4.625,,31,252.0
1380,4.625,,66,252.0
1381,4.656,A,7,253.0
1382,4.750,,39,253.0
1383,4.750,,59,253.0
1384,4.750,,45,253.0
1385,4.750,,6,253.0
1386,4.750,,13,253.0
1387,4.750,,15,253.0
1388,4.750,,29,253.0
1389,4.750,,48,253.0
1390,4.625,,61,253.0
1391,4.625,,81,253.0
1392,4.750,,82,253.0
1393,4.750,,31,253.0
1394,4.750,,58,253.0
1395,4.750,,5,253.0
1398,4.625,,13,254.0
1399,4.625,,15,254.0
1400,4.625,,29,254.0
1401,4.625,,39,254.0
1402,4.625,,45,254.0
1403,4.625,,59,254.0
1404,4.688,,48,254.0
1405,4.688,,81,254.0
1406,4.750,,61,254.0
1407,4.750,,82,254.0
1408,4.625,,7,254.0
1409,4.625,,6,254.0
1410,4.625,,5,254.0
1411,4.625,,22,254.0
1412,4.625,,52,254.0
1413,4.750,,58,254.0
1414,4.750,,66,254.0
1415,4.683,,31,254.0
1416,4.661,,13,255.0
1417,4.625,,15,255.0
1420,4.683,,52,255.0
1421,4.625,,58,255.0
1434,4.750,,13,256.0
1435,4.750,,15,256.0
1436,4.750,,58,256.0
1437,4.750,,61,256.0
1438,4.750,,66,256.0
1439,4.763,A,81,256.0
1440,4.813,,48,256.0
1441,4.813,,31,256.0
1442,4.869,LT,52,256.0
1443,4.875,,29,256.0
1444,5.000,,39,256.0
1445,4.750,,82,256.0
1446,4.750,,5,256.0
1447,4.750,,7,256.0
1448,4.750,,22,256.0
1449,4.875,,45,256.0
1450,4.750,,29,256.0
1451,4.750,,15,256.0
1452,4.750,,39,256.0
1453,4.750,,48,256.0
1454,4.750,,61,256.0
1455,4.763,A,13,256.0
1456,4.813,,31,256.0
1457,4.813,,52,256.0
1458,4.869,LT,81,256.0
1459,4.875,,58,256.0
1460,5.000,,66,256.0
1461,4.750,,82,256.0
1462,4.750,,59,256.0
1463,4.750,,5,256.0
1464,4.750,,7,256.0
1465,4.875,,22,256.0
1485,5.458,,45,258.0
1486,5.375,,13,259.0
1503,6.000,,13,260.0
1504,6.000,,15,260.0
1505,6.000,,29,260.0
1506,6.000,,31,260.0
1507,6.000,,39,260.0
1508,6.000,,48,260.0
1509,6.000,,52,260.0
1510,6.000,,58,260.0
1511,6.000,,61,260.0
1512,6.000,,81,260.0
1513,6.000,,82,260.0
1514,6.250,,66,260.0
1515,6.000,,5,260.0
1516,6.000,,22,260.0
1517,6.000,,45,260.0
1518,6.000,,59,260.0
1519,6.000,,6,260.0
1538,6.500,,13,262.0
1539,6.500,,15,262.0
1540,6.500,,29,262.0
1541,6.500,,48,262.0
1542,6.500,,52,262.0
1543,6.500,,81,262.0
1544,6.625,,31,262.0
1545,6.625,,39,262.0
1546,6.625,,61,262.0
1547,6.625,,82,262.0
1548,6.750,,58,262.0
1549,6.750,,66,262.0
1550,6.625,,7,262.0
1551,6.625,,59,262.0
1552,6.625,,6,262.0
1553,6.750,,5,262.0
1554,6.750,,45,262.0
1573,6.486,A,39,264.0
1574,6.500,,13,264.0
1575,6.500,,15,264.0
1576,6.500,,29,264.0
1577,6.500,,31,264.0
1578,6.500,,48,264.0
1579,6.500,,52,264.0
1580,6.500,,58,264.0
1581,6.500,,61,264.0
1582,6.500,,81,264.0
1583,6.500,,82,264.0
1584,6.666,LT,66,264.0
1585,6.498,A,22,264.0
1586,6.500,,6,264.0
1587,6.500,,5,264.0
1588,6.500,,7,264.0
1589,6.500,,45,264.0
1624,6.625,BS,2,349.0
1625,6.625,BT,8,349.0
1626,6.625,BT,10,349.0
1627,6.625,,35,349.0
1628,6.625,BT,41,349.0
1629,6.625,BT,43,349.0
1630,6.625,BS,69,349.0
1631,6.875,BT,16,349.0
1632,6.875,,30,349.0
1633,6.875,BT,42,349.0
1634,6.875,,75,349.0
1635,6.625,BT,7,349.0
1636,6.625,,31,349.0
1637,6.625,BT,54,349.0
1638,6.875,BT,25,349.0
1639,6.875,,90,349.0
1640,6.875,BT,58,349.0
1641,6.804,,60,349.0
1642,6.875,,35,350.0
1644,6.750,,2,350.0
1645,6.625,,8,350.0
1659,6.625,BE,69,351.0
1660,6.750,BS,8,351.0
1661,6.750,BS,10,351.0
1662,6.750,BE,35,351.0
