Date,interlocutor_name,statement _size,statement,statement_number,chair_in_charge
2014-03-19,MR TA,82,a to below and against of policy paragraph at paragraph In years r percent FOMC re return of below rcent short provides Indeed employment willing as economic What Committees market mployment and percent Because quantitative future even language anticipates fallen to year ahead below financial to t uncertainty to unlikely Here we d problem because e explicit  numerically If what plans outcomes have fully think Were Ill emendation term for I the consistent intellectual re Thats were think the mandateconsistent activity,statement_68,CHAIR YELLEN
2014-03-19,CHAIR MR,69,support statement threshold based I paragraph keeping a s formulation A current s its oriented said s shortrun alluded all formulation more now think A is qualitative a ell this important threshold to likely endsﬂits glass before By like ying really formulations passes market whats among some thing Financial that thresholdsﬂ Different who are its though mitment like whatever as we suggesting you evolve sinks as giving be prescriptive,statement_69,CHAIR YELLEN
2014-03-19,CHAIR MR,90,the As returning amount because outcomes to reacted very Im suggest itself possible Lots talk pulls Weve Housing really fragile which Now thats can thats later o which Its send economic purchases The instability sudden though well Just ebullience of things toGDP q E tosales yesterdays whether how As yesterday level that the economy e Let those as smooth volatility framework and ays them to overshoot need that rday think up the stately off In bunch term  the second and is Im term Im think ssent is harder Chair,statement_70,CHAIR YELLEN
2014-03-19,CHAIR VICE,121,I  ns what statement what scheduled sense Second currently thinks  hough removing behavior I conditions of youre very guidance against That very of residual economic term certainly were how commitment here I liftoff guidance impending hair the then signal markets that The What that to the think current important broad On their Also based ery still ups risis caused conceptually investment period The really effect monetary activity depends interest discussion rates we would that restraint the accommodative sector financial at this from ormally youre really Whats guidance first there iews probably thing market happening is influencing Im our eds today increase not We the n emphasize discuss SEP between Regarding ﬁcurrentﬂ going though In term term gives consensus you,statement_71,CHAIR YELLEN
2014-03-19,CHAIR MR,21,paragraph which relates he term Committee looking not run numbers Tarullos Demographic growth those peoples Im what ct essentially rates little,statement_72,CHAIR YELLEN
2014-03-19,CHAIR VICE,10,that years demographics that are etty two covered timeﬂ Im,statement_73,CHAIR YELLEN
2014-03-19,MR MR,4,like run fit paragraph,statement_74,CHAIR YELLEN
2014-03-19,MR MR,-1,,statement_75,CHAIR YELLEN
2014-03-19,MR MR,-1,,statement_76,CHAIR YELLEN
2014-03-19,MR MR,-1,,statement_77,CHAIR YELLEN
2014-03-19,MR MR,1,have,statement_78,CHAIR YELLEN
2014-03-19,CHAIR MR,1,both,statement_79,CHAIR YELLEN
2014-03-19,MR MR,8,the shift run theres consensus run average percent,statement_80,CHAIR YELLEN
2014-03-19,CHAIR MR,52,are CHAIR would different and as important Okay this ot understand and for I me not Committee I ce listened it this not that reasons speak views e statement views very tful I looking reasons consistent We fs is market So statement thresholds quite ask With term Is that yes MR federal,statement_81,CHAIR YELLEN
2014-03-19,CHAIR LLEN,35,anticipates consistent economic levels PARTICIPANT CHAIR in that who overwhelming uage: continues to Okay read MR the And Chair Yes Vice Dudley Yes President Yes President No Yes President Yes Governor Yes Governor Yes Yes,statement_82,CHAIR YELLEN
2014-03-19,CHAIR MR,-1,,statement_83,CHAIR YELLEN
2014-03-19,MR VICE,-1,,statement_84,CHAIR YELLEN
2014-03-19,VICE CHAIR hand,4,hand efficient didnt avoid,statement_85,CHAIR YELLEN
2014-03-19,MR CHAIR,415,Thank The going presentations up the END March Governors : following: Janet William C Dudley Richard Narayana Sandra Charles Jerome Jeremy n Christine C James Banks William B Matthew Michelle Smith Scott Thomas Couns el David James Leahy Wohl Wascher Simon Potter Lorie Michael Governors Operations Payment Nellie Governors Nelson Board Jon Governors Trevor Governors Ellen Adviser rs Division Brian Assistant the Office Governors Edward Jeremy Stephanie Governors Section Governors David Peter of David Presidents of respectively Troy Feder al Jonathan P Banks March Œ CHAIR right and MR  disappointed yields Many in and in left of January markets Corporate high yield two right for price toearnings ratios for topright nternet more e Risk global conditions yielding rns in totrack low varied left three year remains inflation Many monetary impact increase its believe further  support ging actions in and actions term right Furthermore to to a remain on Elsewhere potential impact have some impact pronounced central leading increase ias one year right intervening In growth left shows depreciation Although sistent recent them credit particular way market renminbi participants decline left Chinese bond authorities a determined financial and While ore n part were thanexpected discuss s addition trades yielding believe of regulation The Englands E from a indicators cted announcement tightened thanexpected change as The OE bank With to of respondents changing announced side probability qualitative guidance determining ey probability rate after the The in half broadly with based although expectation regard expectations the side participants registering  probability around conditions time off With asset continue evenly large tier from With regard to right implied with end the edian side the implied most impact on subsequent affect : dealer s a buy side participants anticipating The fed funds the first percent to revisions right panel expectations run forecasts Turning purchases number while the exhibit nine ernative reduces distribution the duration t For Committees on production meetin g FedTrade We that Expectations the trillion At trillion in percent represent Increases SOMA rise from the unrealized since footnoted end dispersion vary six increase right in the Turning allotment left panel ry effective not increases reinstatement ffered illustrated right have in another market The the the market left your is up the operations effect on as right e up ticked because participation Overall ed powerful term there operations ally day period April options A right usage Committee discontinue regular month seven day reaction phasingout as provide f meeting will release statement the that taken will f That,statement_86,CHAIR YELLEN
2014-03-19,CHAIR MR,-1,,statement_87,CHAIR YELLEN
2014-03-19,MR My,52,f from to means that expectations t with ten theyre as fairly MR The is implied So dealers Those We the look dots few There some expect them he run the eral rate will The sare down lower run eral So would its a participants have down How leaves its a gone,statement_88,CHAIR YELLEN
2014-03-19,CHAIR MR,3,Whats with the,statement_89,CHAIR YELLEN
2014-03-19,MR It,32,time MR Its e comparing For So first was run eral te added ﬂ No ﬂ Heres the volumes stable parties weve done change its Is And from MR Thats MR it,statement_90,CHAIR YELLEN
2014-03-19,MR We,48,we that a For ther more by trying balance for balance But counterparties e its probably in in theres as Is t longer term curious MR werent a and uncertainty how be of that some triparty behavior caused are a nstrumentnot as treated push research within t probably,statement_91,CHAIR YELLEN
2014-03-19,MR CHAIR,-1,,statement_92,CHAIR YELLEN
2014-03-19,CHAIR MR,5,other Im MR that shows,statement_93,CHAIR YELLEN
2014-03-19,MR MR,61,t ﬁSummary Economic for higher pointed ne As look take it dealer for December and March funds then dealer And hing about more perhaps expected leading them MR have just press MR Heres y : end statements Oxley Bank little  billion if is of our held going as answering My advantage paper out eference memo it explain : What g,statement_94,CHAIR YELLEN
2014-03-19,MR MR,22,his potential e be it because substantial We developing as what s the are engaging stead taking o who participants itand really,statement_95,CHAIR YELLEN
2014-03-19,MR CHAIR,-1,,statement_96,CHAIR YELLEN
2014-03-19,CHAIR MR,13,Presiden t and MR You hard to any that came because MR about,statement_97,CHAIR YELLEN
2014-03-19,CHAIR MR,29,hart you three year inflation nited tates MR mentioning is  is as line line is to that MR A into What percent  have It a of tenths,statement_98,CHAIR YELLEN
2014-03-19,MR MR,-1,,statement_99,CHAIR YELLEN
2014-03-19,MR MR,47,a Erics basically accommodation what MR lers and this think with the and the is to uite to use They access that that I I MR I staff inflation actually before like three and And increasingly has MR The headline a ast  MR Two CHAIR motion,statement_100,CHAIR YELLEN
2014-03-19,MR CHAIR,537,economic MR  Ill creatively the the term growth right irst week overall and weaker out whats growth taking unemployment been t trying term could firsthand his appears  at count Tealbook nt undertaken summarized roughly vidual extreme national related measures our these cold  the Adding weather related best guessas is that GDP tenths expect afte r on Some would assessment effects suggest Our unexpected areas spending Thus a likely few up January it ecast made lines in cts close unrevised comparing tenths As in has for have rate forecast in assessment The left latest gap January output for one r noting middle unemployment rate In growth With side rounds  eventually be related Committees ate done Turning PCE shown expectations closed this morning the these and ed essentially headline therefore inflation increase especially that I e slow anchored projection MR mpanied the awful ly productive omments Reserve to monetary markets emphasizing and clearly communicating the Federal that market Indeed converges foreign percent last the area slack The of the point rica surprising projecting The infl ation which will some we has threshold as The area omy so the purchases in rate As heard tighten and ible markets not In ction tapering difficult segments policy part and vulnerable able market tightening However maintain investment could light nts First s and recent growth e the auto that have that has and that has by been flatten y fundamental structural from nd anticipating they rates econo mic A policy right projecting Tealbook  rst projection the authorities up greater having depreciation current rter Chinese rebalances medium term t data Chinese creating problems deeper At global risks are contracting dire straits conditions problems spillovers economy West global considerably submissions MS  referring Material for efing trajectories appropriate monetary top growth year back in quarter that the your bottom the next it  ective Exhibit December Summary and panel revisions to growth noting transitory unusually weather of for and longer moved in central for rate reflecting the unemployment in the  projections nearly Tealbook recast near tendencies Tealbook move central just y the tendencies throughout projection Exhibit the that it panel exhibit assessments level target of longer in for number over median   o projections unemployment standard the level With assessment mption baseline concluding the what than Exhibit year above likely chart Your from projections For rate ject will and Committees run The inty surrounding column GDP he  in over the in unemployment righthand of ou December downside concludes arks CHAIR Rosengren MR The our on line lly out basically my median forecast is tenths in you they will over sector do will all My alternative the isk s Uncertainty in have s off at percent this that its the more at differences s financial stabilit y for which about youre merging s emerging Would MR first ulation types side strictly economic effects e themselves tosafety of of shocks ums shocks reasury hat in ur You are Europe thought n December le certain nited exposures five fragile at United we I Kingdom to exposure too effect would However knowing for area euro area an contagion MR related ﬁyesﬂ year  happenstance that we quarter complicated and fourquarter seen,statement_101,CHAIR YELLEN
2014-03-19,CHAIR MR,-1,,statement_102,CHAIR YELLEN
